"Language ID","Module"
no,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"januar"
_MONTH_LONG_02,"februar"
_MONTH_LONG_03,"mars"
_MONTH_LONG_04,"april"
_MONTH_LONG_05,"mai"
_MONTH_LONG_06,"juni"
_MONTH_LONG_07,"juli"
_MONTH_LONG_08,"august"
_MONTH_LONG_09,"september"
_MONTH_LONG_10,"oktober"
_MONTH_LONG_11,"november"
_MONTH_LONG_12,"desember"
_MONTH_SHORT_01,"januar"
_MONTH_SHORT_02,"februar"
_MONTH_SHORT_03,"mars"
_MONTH_SHORT_04,"april"
_MONTH_SHORT_05,"mai"
_MONTH_SHORT_06,"juni"
_MONTH_SHORT_07,"juli"
_MONTH_SHORT_08,"august"
_MONTH_SHORT_09,"september"
_MONTH_SHORT_10,"oktober"
_MONTH_SHORT_11,"november"
_MONTH_SHORT_12,"desember"
_WEEKDAY_0,"søndag"
_WEEKDAY_1,"mandag"
_WEEKDAY_2,"tirsdag"
_WEEKDAY_3,"onsdag"
_WEEKDAY_4,"torsdag"
_WEEKDAY_5,"fredag"
_WEEKDAY_6,"lørdag"
_WEEKDAY_SHORT_0,"søn"
_WEEKDAY_SHORT_1,"man"
_WEEKDAY_SHORT_2,"tir"
_WEEKDAY_SHORT_3,"ons"
_WEEKDAY_SHORT_4,"tor"
_WEEKDAY_SHORT_5,"fre"
_WEEKDAY_SHORT_6,"lør"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Avbryt"
_COPIED,"Kopiert"
_COPIED_TO_CLIPBOARD,"Kopiert til utklippstavle"
_COPY_TO_CLIPBOARD,"Kopier til utklippstavle"
_NEXT,"Neste"
_PREV,"Forrige"
_FILENAME,"Filnavn:"
_LANGUAGE,"Språk:"
_PUBLISHED,"Publisert:"
_CHOOSE_YOUR_LANGUAGE,"Velg språk:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Skjermnavn kan bare inneholde små bokstaver a-z, store bokstaver A-Z, tall 0-9, bindestrek, understrek og punktum."
_ERROR_SCREEN_NAME_IN_USE,"Dette skjermnavnet er allerede i bruk."
_ERROR_SCREEN_NAME_TOO_LONG,"Skjermnavn kan ikke være lengre enn 50 tegn."
_ERROR_SALUTATION_TOO_LONG,"Hilsen kan ikke være lengre enn 25 tegn."
_ERROR_FIRST_NAME_TOO_LONG,"Fornavn kan ikke være lengre enn 100 tegn."
_ERROR_LAST_NAME_TOO_LONG,"Etternavn kan ikke være lengre enn 100 tegn."
_ERROR_EMAIL_ADDRESS_INVALID,"E-postadressen er ikke gyldig."
_ERROR_EMAIL_ADDRESS_IN_USE,"Denne e-postadressen er allerede i bruk."
